dma_code,dma_name,latitude,longitude
737,"Mankato, MN",43.876563,-94.4376415
553,"Marquette, MI",46.8707415,-87.8765355
813,"Medford-Klamath Falls, OR",42.3097025,-121.9634415
640,"Memphis, TN",35.1946395,-89.757956
711,"Meridian, MS",32.3468715,-88.5817905
528,"Miami-Fort Lauderdale, FL",25.439022,-80.940626
617,"Milwaukee, WI",43.1921015,-88.358241
613,"Minneapolis-St. Paul, MN",46.0197555,-94.199023
687,"Minot-Bismarck-Dickinson(Williston), ND",46.8731805,-102.71806
762,"Missoula, MT",47.229117,-114.464452
686,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",31.1061175,-87.6151775
628,"Monroe, LA-El Dorado, AR",32.1842885,-91.9321725
828,"Monterey-Salinas, CA",36.537526,-121.265832
698,"Montgomery-Selma, AL",32.0506805,-86.7675715
570,"Myrtle Beach-Florence, SC",34.2987775,-79.419767
659,"Nashville, TN",36.07259,-86.631128
622,"New Orleans, LA",29.9723295,-90.0824885
501,"New York, NY",40.839717,-73.6072985
544,"Norfolk-Portsmouth-Newport News, VA",36.608336,-76.3720915
740,"North Platte, NE",41.394995,-100.836179
633,"Odessa-Midland, TX",30.781491,-103.077288
650,"Oklahoma City, OK",35.667342,-97.9919705
652,"Omaha, NE",41.1056295,-96.150686
534,"Orlando-Daytona Beach-Melbourne, FL",28.6562235,-81.4963015
631,"Ottumwa, IA-Kirksville, MO",40.384083,-92.545142
632,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",37.2352865,-89.497325
804,"Palm Springs, CA",33.72988,-116.2354255
656,"Panama City, FL",30.293713,-85.3696325
597,"Parkersburg, WV",39.336078,-81.4306435
675,"Peoria-Bloomington, IL",40.6826125,-89.343186
504,"Philadelphia, PA",39.8995855,-75.3874975
753,"Phoenix, AZ",34.7133875,-111.899851
508,"Pittsburgh, PA",40.409733,-79.6590145
820,"Portland, OR",44.191309,-120.4498885
500,"Portland-Auburn, ME",44.366668,-70.1830055
552,"Presque Isle, ME",46.519615,-68.9025615
521,"Providence, RI-New Bedford, MA",41.620932,-71.351281
717,"Quincy, IL-Hannibal, MO-Keokuk, IA",40.066065,-91.1726125
560,"Raleigh-Durham (Fayetteville), NC",35.72255,-78.4212995
764,"Rapid City, SD",43.7649485,-104.4792695
811,"Reno, NV",39.4852355,-118.959289
556,"Richmond-Petersburg, VA",37.4686305,-77.5349825
573,"Roanoke-Lynchburg, VA",37.6408795,-79.9113685
538,"Rochester, MN-Mason City, IA-Austin, MN",42.9137715,-77.387152
611,"Rochester, NY",43.552183,-92.850969
610,"Rockford, IL",42.0453555,-89.316059
862,"Sacramento-Stockton-Modesto, CA",38.7885185,-120.9905465
576,"Salisbury, MD",38.4437985,-75.548586
770,"Salt Lake City, UT",40.23193,-112.26407
661,"San Angelo, TX",31.186904,-100.740601
641,"San Antonio, TX",29.2651455,-99.1607395
825,"San Diego, CA",33.0195915,-116.8402815
807,"San Francisco-Oakland-San Jose, CA",38.4477155,-122.6193155
855,"Santa Barbara-Santa Maria-San Luis Obispo, CA",34.844663,-120.4100205
507,"Savannah, GA",32.168191,-81.6330685
819,"Seattle-Tacoma, WA",47.621239,-121.842349
657,"Sherman, TX-Ada, OK",34.181478,-96.2499835
612,"Shreveport, LA",32.820852,-94.0138375
624,"Sioux City, IA",42.621459,-96.376337
725,"Sioux Falls (Mitchell), SD",44.0133785,-98.735199
588,"South Bend-Elkhart, IN",41.576527,-86.062314
881,"Spokane, WA",47.0398515,-117.603633
619,"Springfield, MO",37.1293385,-92.5469955
543,"Springfield-Holyoke, MA",42.3856895,-72.6017095
638,"St. Joseph, MO",40.055305,-94.8792055
609,"St. Louis, MO",38.434253,-90.169254
555,"Syracuse, NY",42.9849975,-76.1014455
530,"Tallahassee, FL-Thomasville, GA",30.462299,-83.675708
539,"Tampa-St. Petersburg (Sarasota), FL",27.9989465,-81.8973955
581,"Terre Haute, IN",39.2814045,-87.6904085
547,"Toledo, OH",41.384993,-83.7585085
605,"Topeka, KS",39.0201515,-96.5557205
540,"Traverse City-Cadillac, MI",45.119199,-84.9520115
531,"Tri-Cities, TN-VA",36.732483,-82.468517
789,"Tucson (Sierra Vista), AZ",31.923023,-111.1907555
671,"Tulsa, OK",35.9900205,-95.7685615
760,"Twin Falls, ID",42.994495,-114.043651
709,"Tyler-Longview(Lufkin & Nacogdoches), TX",32.1070105,-94.8806935
526,"Utica, NY",43.205527,-75.026249
626,"Victoria, TX",28.805652,-96.973793
625,"Waco-Temple-Bryan, TX",31.0795205,-97.3521605
511,"Washington, DC (Hagerstown, MD)",39.127683,-77.904362
549,"Watertown, NY",44.217164,-75.4894475
705,"Wausau-Rhinelander, WI",44.9711405,-89.6752625
548,"West Palm Beach-Ft. Pierce, FL",27.096694,-80.6271745
554,"Wheeling, WV-Steubenville, OH",39.96655,-81.0435735
627,"Wichita Falls, TX-Lawton, OK",33.9059285,-99.039775
678,"Wichita-Hutchinson, KS Plus",38.672948,-99.005353
577,"Wilkes Barre-Scranton, PA",41.2488125,-76.530153
550,"Wilmington, NC",34.3480385,-78.294559
810,"Yakima-Pasco-Richland-Kennewick, WA",46.29578,-119.748852
536,"Youngstown, OH",41.0505515,-80.543523
771,"Yuma, AZ-El Centro, CA",32.751631,-114.7199745
596,"Zanesville, OH",39.961236,-81.9657085
